item_id,blur_score,is_blurry,phash,duplicate_group_id,is_duplicate
carstenlange_twitter_856412cb,559.15,False,fa2865a565a7d684,332,False
carstenpaetz_twitter_fa72e20c,797.64,False,eeb1175883b610db,333,False
castellani_twitter_7685121c,973.27,False,938c5cb2c97cb343,334,False
castlecruz_twitter_4e35cd74,1607.68,False,f53d088c0f2ff4e0,335,False
catarinavarao_twitter_52dd9490,699.42,False,e7ea16d109b4670e,336,False
catchtorolav_twitter_8b9bd823,392.85,False,bc58c071c343cdcf,337,False
catinamurillo_twitter_a5bee91f,1117.7,False,c81e633dc2333fc8,338,False
catturner_twitter_6111ca3b,1742.98,False,c1735e1e23239adc,339,False
cavdan_twitter_ff812e57,275.56,False,e8a856a507e125f7,340,False
cblack_twitter_ab567e36,68.9,True,ceb13cb0b2d3c2c3,341,False
cecilialiao_twitter_8114c50f,552.2,False,b9b086eb8c9ec88d,342,False
cecilyarambula_twitter_6d59bf95,387.65,False,a7db4c26d9e6c221,343,False
celebquote_twitter_d7d850f3,317.22,False,f8c1c36986867979,344,False
celebrone_twitter_653b77af,443.29,False,ba9043add6a34d87,345,False
celiooliveira_twitter_2b50466d,2243.21,False,b6e513b150bb48b9,346,False
cemtozar_twitter_5a8c30a1,828.1,False,ef851ee4961a8993,347,False
chadnewman_twitter_2bb9c94c,388.42,False,cb9c3728303ae71d,348,False
chammccutchen_twitter_bdc83149,2786.21,False,878a3d366a39e5d0,349,False
charlablue_twitter_af8d2706,780.88,False,e0b3e7c79ab005ca,350,False
charlielujan_twitter_e3d71bfe,312.16,False,929b25616d646577,351,False
charliemac_twitter_6eb445af,1240.6,False,e57a1f01384770eb,352,False
