Original_location,Location_raw,Location_clean,Location_type,Location_valid,Latitude,Longitude
"Portsmouth, NH","portsmouth, nh","portsmouth, nh",text_location,1,,
,,,unknown,0,,
Helsinki,helsinki,helsinki,text_location,1,,
"Amsterdam, The Netherlands","amsterdam, the netherlands","amsterdam, the netherlands",text_location,1,,
NYC,nyc,nyc,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Brooklyn, NY","brooklyn, ny","brooklyn, ny",text_location,1,,
toronto,toronto,toronto,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Loveland, Colorado","loveland, colorado","loveland, colorado",text_location,1,,
,,,unknown,0,,
United States,united states,united states,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Selangor, Malaysia","selangor, malaysia","selangor, malaysia",text_location,1,,
UK,uk,uk,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Spain,spain,spain,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
10010,10010,10010,text_location,1,,
"Finland, Helsinki","finland, helsinki","finland, helsinki",text_location,1,,
London,london,london,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
